company,slug,category,hq_country,as_of,confidence,pricing_models,free_tier,has_outcome_pricing,has_credits_system,enterprise_custom,sku,price_usd,billing_unit,billing_period,whats_gated,quota,unlimited_definition,throttle_behavior
Anthropic (Claude consumer plans),anthropic-claude,foundation_lab,US,2026-07-22,public_page,seat|hybrid,True,False,False,True,Free,0,flat/month,monthly,"Basic access, 5-hour session limits","rolling 5-hour session windows, no fixed message counts",,wait for window reset or upgrade
Anthropic (Claude consumer plans),anthropic-claude,foundation_lab,US,2026-07-22,public_page,seat|hybrid,True,False,False,True,Pro,20,flat/month ($17/mo billed annually at $200),monthly,"Claude Code, Cowork, Research, unlimited projects, more models, M365 integration",5-hour sessions + weekly overall cap + separate Opus cap; usage pooled across web/desktop/mobile/Claude Code,,"wait, upgrade, or enable usage credits at standard API rates (overage)"
Anthropic (Claude consumer plans),anthropic-claude,foundation_lab,US,2026-07-22,public_page,seat|hybrid,True,False,False,True,Max,100,"flat/month, 'from' price — 5x Pro usage; 20x tier reported at $200/mo",monthly,"Higher output limits, early access, priority traffic access","5x or 20x Pro usage, weekly caps apply",,same overage mechanism (API-rate usage credits)
Anthropic (Claude consumer plans),anthropic-claude,foundation_lab,US,2026-07-22,public_page,seat|hybrid,True,False,False,True,Team Standard,25,per seat/month ($20 billed annually),monthly,"Team workspace, admin",,,
Anthropic (Claude consumer plans),anthropic-claude,foundation_lab,US,2026-07-22,public_page,seat|hybrid,True,False,False,True,Team Premium,125,per seat/month ($100 billed annually),monthly,Higher usage tier for teams,,,
Clay,clay,gtm_tooling,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,Free,0,flat/month,monthly,"500 actions + 100 data credits/mo, unlimited seats/tables, 200 rows/table, Claygent, BYO API keys",500 actions + 100 data credits/month; 200 rows/table,"unlimited seats and tables — metering happens on actions/credits, not people",top-up (30% premium) or upgrade
Clay,clay,gtm_tooling,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,Launch,167,flat/month (annual tile price; FAQ states 'starting at $185/mo' — conflict recorded),monthly,"15K actions + 2.5–3K data credits/mo; phone enrichment, signals, 50K rows","15,000 actions + ~3,000 data credits/month",,top-ups at 30% premium
Clay,clay,gtm_tooling,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,Growth,446,flat/month (annual tile price; FAQ states 'starting at $495/mo' — conflict recorded),monthly,"40K actions + 6K data credits/mo; CRM sync, HTTP API, webhooks, web intent, 1 ads audience, priority support","40,000 actions + 6,000 data credits/month",,top-ups at 30% premium
Clay,clay,gtm_tooling,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,Enterprise,,custom,custom,"100K+ credits/200K+ actions, SSO, RBAC, dedicated strategist",,,
Cursor (Anysphere),cursor,coding_agent,US,2026-07-22,public_page,hybrid|usage|seat,True,False,True,True,Hobby,0,flat/month,monthly,"Limited Agent requests, limited Tab completions",limited Agent requests (count not published),,hard stop until upgrade
Cursor (Anysphere),cursor,coding_agent,US,2026-07-22,public_page,hybrid|usage|seat,True,False,True,True,Pro,20,flat/month + usage credit pool,monthly,Set amount of frontier-model usage at API rates + unlimited Tab and Auto-routed models,credit pool ≈ API-rate value of $20; reported ~225 Sonnet-4 requests equivalent,"'Unlimited' applies to Auto (auto-routed models) only, not frontier model selection",opt-in on-demand usage billed at cost in arrears; off by default via spend limit
Cursor (Anysphere),cursor,coding_agent,US,2026-07-22,public_page,hybrid|usage|seat,True,False,True,True,Pro+,60,flat/month + usage credit pool,monthly,~3x Pro usage (reported only — price not rendered on public page),~3x Pro credit pool (reported),,same on-demand arrears model
Cursor (Anysphere),cursor,coding_agent,US,2026-07-22,public_page,hybrid|usage|seat,True,False,True,True,Ultra,200,flat/month + usage credit pool,monthly,~20x Pro usage (reported only — price not rendered on public page),~20x Pro credit pool (reported),,same on-demand arrears model
Cursor (Anysphere),cursor,coding_agent,US,2026-07-22,public_page,hybrid|usage|seat,True,False,True,True,Teams,40,per seat/month,monthly,Org features; Standard/Premium sub-tiers (Premium price not rendered),,,
ElevenLabs,elevenlabs,voice_ai,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,Free,0,flat/month,monthly,"10k credits/mo, 3 Studio projects, no commercial license","10,000 credits/month (~10 TTS minutes)",,top-up or upgrade
ElevenLabs,elevenlabs,voice_ai,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,Starter,6,flat/month,monthly,"30k credits, commercial license, instant voice cloning","30,000 credits/month",,top-up or upgrade
ElevenLabs,elevenlabs,voice_ai,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,Creator,22,flat/month (50% off first month),monthly,"121k credits, professional voice cloning","121,000 credits/month",,top-up or upgrade
ElevenLabs,elevenlabs,voice_ai,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,Pro,99,flat/month,monthly,"600k credits, 192kbps/44.1kHz PCM API audio","600,000 credits/month",,top-up (~$0.17–0.36/extra TTS minute by tier)
ElevenLabs,elevenlabs,voice_ai,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,Scale,299,flat/month,monthly,"1.8M credits, 3 seats",,,
ElevenLabs,elevenlabs,voice_ai,US,2026-07-22,public_page,credit|hybrid,True,False,True,True,Business,990,flat/month,monthly,"6M credits, 10 seats, 5c/min low-latency TTS",,,
Intercom (Fin),intercom-fin,support_agent,US,2026-07-19,reported,seat|outcome|hybrid,False,True,False,True,Fin (AI agent),0.99,per resolution,usage,AI agent resolutions; billed only when Fin resolves the conversation,,,
OpenAI (ChatGPT consumer plans),openai-chatgpt,foundation_lab,US,2026-07-22,reported,seat,True,False,False,True,Free,0,flat/month,monthly,"Limited GPT-5.5 Instant, 27K context, limited images/deep research/Codex",limited messages (counts not published),,hard stop / model downgrade
OpenAI (ChatGPT consumer plans),openai-chatgpt,foundation_lab,US,2026-07-22,reported,seat,True,False,False,True,Go,8,flat/month (reported; may include ads),monthly,"More messages/uploads/images, 54K context",,,
OpenAI (ChatGPT consumer plans),openai-chatgpt,foundation_lab,US,2026-07-22,reported,seat,True,False,False,True,Plus,20,flat/month (reported),monthly,"GPT-5.6 reasoning models, 256K reasoning context, projects/tasks/custom GPTs, expanded Codex",,,
OpenAI (ChatGPT consumer plans),openai-chatgpt,foundation_lab,US,2026-07-22,reported,seat,True,False,False,True,Pro,200,"flat/month (reported; 'from' pricing with 5x/20x sub-tiers, ~$100/$200 reported)",monthly,"GPT-5.6 Sol Pro, unlimited* messages/images, 128K instant/400K reasoning context, maximum Codex/deep research",'unlimited','Unlimited subject to abuse guardrails' (page's own footnote),"abuse guardrails, undefined publicly"
OpenAI (ChatGPT consumer plans),openai-chatgpt,foundation_lab,US,2026-07-22,reported,seat,True,False,False,True,Business,25,"per seat/month (reported: $20–25 annual, $25–30 monthly)",monthly,"Team workspace, admin controls",,,
